文件名	                   用在网站哪里
overview.png	         首页"公司简介"配图
facade.png	          关于我们"公司外景"


文件名	                                   用在网站哪里
hero.png	                                首页首屏大图
workshop-1.png	                首页"制造实力"全宽横幅
workshop-stamping.png	关于我们·冲压车间
workshop-cnc.png	                 关于我们·CNC 车间
lab-1.png	                       关于我们·检测中心


文件名	                                用在网站哪里
stamping-1.png	        冲压件卡（首页 + 产品中心）
machining-1.png	        CNC 加工件卡（首页 + 产品中心）
fasteners-1.png	        紧固件卡（首页 + 产品中心）
sheet-metal-1.png	        钣金件卡（产品中心）
mold-1.png	                模具卡（产品中心）
finishing-1.png	        表面处理卡（首页 + 产品中心）
